Sample,Type,PIM046_A3,PIM056_A3,185_057_X0_P3,185_026_X0_P3,185_037_X0_P3,185_071_X0_P3,185_002_X0_P3,185_049_X0_P3,185_128_X0_P3,185_129_X0_P3
Trial_ID,Meta,185,185,185,185,185,185,185,185,185,185
Patient_ID,Meta,32,40,57,26,37,71,2,49,128,129
TimePoint,Meta,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre
Passage,Meta,P3,P3,P3,P3,P3,P3,P3,P3,P3,P3
Source,Meta,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX
Have_RNA_seq,Meta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIM_ID,Meta,PIM046,PIM056,PIM077,PIM040,PIM053,PIM091,PIM010,PIM068,PIM163,PIM164
RCB_status,Meta,RCB-II,RCB-III,RCB-II,RCB-II,RCB-I,RCB-III,RCB-II,pCR,RCB-III,RCB-I
VB_Subtype,Meta,BL2,BL2,BL2,LAR,LAR,LAR,M,M,M,UNS
A1BG,Exp,935,316,137,28,205,135,311,147,525,159
A1CF,Exp,0,0,0,0,815,535,0,623,1346,3055
A2M,Exp,63,233,1823,226,733,1766,6430,4209,2807,1438
A2ML1,Exp,830,687,520,9,10894,2296,720,3353,3855,1410
A3GALT2,Exp,0,1,4,4,62,58,13,43,506,174
A4GALT,Exp,156,522,40,18,31,31,257,59,587,98
A4GNT,Exp,0,0,0,0,35,106,3,101,349,120
AAAS,Exp,1032,951,666,688,3937,818,692,1349,1168,1178
AACS,Exp,3267,2390,392,1253,3645,528,4049,384,2182,866
AADAC,Exp,3,0,0,1,212,131,0,96,404,107
AADACL2,Exp,0,0,0,0,87,108,0,162,424,98
AADACL3,Exp,0,0,0,0,50,92,2,42,299,251
AADACL4,Exp,0,0,0,0,184,471,0,195,556,723
AADAT,Exp,288,37,177,23,2791,826,587,1995,923,1680
AAED1,Exp,670,545,229,34,112,96,160,130,372,112
AAGAB,Exp,3162,2256,1116,647,1075,529,1426,281,972,1040
AAK1,Exp,1146,1047,1194,348,14636,5122,2145,4229,5734,3755
AAMDC,Exp,742,558,53,163,2375,536,130,614,329,165
